chave_estavel,codigo,codigo_original,descricao,ordem,tipo,folha_mensuravel
11873b70-5a3b-528b-8041-4b85a37e1661,SINAPI:96541,96541,"FABRICAÇÃO, MONTAGEM E DESMONTAGEM DE FÔRMA PARA SAPATA, EM CHAPA DE MADEIRA COMPENSADA RESINADA, E=17 MM, 4 UTILIZAÇÕES. AF_01/2024",54,item,True
91e07404-712a-5c68-a75b-26f4a9d41543,SINAPI:96536,96536,"FABRICAÇÃO, MONTAGEM E DESMONTAGEM DE FÔRMA PARA VIGA BALDRAME, EM MADEIRA SERRADA, E=25 MM, 4 UTILIZAÇÕES. AF_01/2024",55,item,True
ad0b9811-1d92-5fc5-bb4a-5621f8753880,SINAPI:96619,96619,"LASTRO DE CONCRETO MAGRO, APLICADO EM BLOCOS DE COROAMENTO OU SAPATAS, ESPESSURA DE 5 CM. AF_01/2024",56,item,True
455775ad-7134-5c57-8a7c-a324c83d668d,SINAPI:95601,95601,"ARRASAMENTO MECANICO DE ESTACA DE CONCRETO ARMADO, DIAMETROS DE ATÉ 40 CM. AF_05/2021",57,item,True
5f39003d-c045-5ee1-92e2-e7d60a8351df,SINAPI:95967,95967,SERVIÇOS TÉCNICOS ESPECIALIZADOS PARA ACOMPANHAMENTO DE EXECUÇÃO DE FUNDAÇÕES PROFUNDAS E ESTRUTURAS DE CONTENÇÃO,58,item,True
01d58cd6-9530-57e3-bc24-5b4a4bffd591,SINAPI:96534,96534,"FABRICAÇÃO, MONTAGEM E DESMONTAGEM DE FÔRMA PARA BLOCO DE COROAMENTO, EM MADEIRA SERRADA, E=25 MM, 4 UTILIZAÇÕES. AF_01/2024",59,item,True
bacfae2d-c33f-541d-b1f5-ddd1e3e8548b,SINAPI:92759,92759,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-60 DE 5,0 MM - MONTAGEM. AF_06/2022",60,item,True
2f000b88-cc19-5025-8041-182ed25108c2,SINAPI:104919,104919,"ARMAÇÃO DE SAPATA ISOLADA, VIGA BALDRAME E SAPATA CORRIDA UTILIZANDO AÇO CA-50 DE 10 MM - MONTAGEM. AF_01/2024",61,item,True
631d11a5-5b0b-5427-a270-2e4ff07b30d1,SINAPI:100896,100896,"ESTACA ESCAVADA MECANICAMENTE, SEM FLUIDO ESTABILIZANTE, COM 25CM DE DIÂMETRO, CONCRETO LANÇADO POR CAMINHÃO BETONEIRA (EXCLUSIVE MOBILIZAÇÃO E DESMOBILIZAÇÃO). AF_01/2020_PA",62,item,True
1fbc5c06-f5d4-58d8-96c5-d1d36cf958fd,SINAPI:92762,92762,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 10,0 MM - MONTAGEM. AF_06/2022",63,item,True
cec42581-d33e-5885-a122-befb7211b4a3,,,FUNDAÇÕES ESPECIAIS,64,grupo,False
c2d3bc41-1490-5415-b311-c9e676326e9e,UFCA:B0027,B0027,MOBILIZAÇÃO DE PERFURATRIZ DE ALGUMA CAPITAL DO NORDESTE,65,item,True
292b2f28-11c1-581a-850c-a07ec89e8e0b,UFCA:B0028,B0028,DESMOBILIZAÇÃO DE PERFURATRIZ DE ALGUMA CAPITAL DO NORDESTE,66,item,True
a88a7a4c-482b-5f96-a9fc-5f97a7ea9213,,,SUPERESTRUTURA,67,grupo,False
b4c9b201-61ed-5824-9360-35d2df269421,,,ESTRUTURAS METÁLICAS,68,grupo,False
4cde272c-db76-5f06-a62a-ed75e9ac0a46,SINAPI:100775,100775,"ESTRUTURA TRELIÇADA DE COBERTURA, TIPO FINK, COM LIGAÇÕES SOLDADAS, INCLUSOS PERFIS METÁLICOS, CHAPAS METÁLICAS, MÃO DE OBRA E TRANSPORTE COM GUINDASTE - FORNECIMENTO E INSTALAÇÃO. AF_01/2020_PSA",69,item,True
