,,Obra,,Bancos,,,B.D.I.,Encargos Sociais,
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,2315373","24,99","5,78"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,2315373","29,57","6,84"
Composição Auxiliar, 88629 ,SINAPI,"ARGAMASSA TRAÇO 1:3 (EM VOLUME DE CIMENTO E AREIA MÉDIA ÚMIDA), PREPARO MANUAL. AF_08/2019",Argamassas,,m³,"0,0009000","591,67","0,53"
Insumo, 00001872 ,SINAPI,"CAIXA DE PASSAGEM, EM PVC, DE 4"" X 2"", PARA ELETRODUTO FLEXIVEL CORRUGADO",Material,,UN,"1,0000000","1,42","1,42"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.5.1.12 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 91939 ,SINAPI,"CAIXA RETANGULAR 4"" X 2"" ALTA (2,00 M DO PISO), PVC, INSTALADA EM PAREDE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023","Instalações Elétricas - Eletrodutos Embutidos, Cabos, Caixas, Tomadas e Interruptores",,UN,"1,0000000","25,86","25,86"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,4383187","24,99","10,95"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,4383187","29,57","12,96"
Composição Auxiliar, 88629 ,SINAPI,"ARGAMASSA TRAÇO 1:3 (EM VOLUME DE CIMENTO E AREIA MÉDIA ÚMIDA), PREPARO MANUAL. AF_08/2019",Argamassas,,m³,"0,0009000","591,67","0,53"
Insumo, 00001872 ,SINAPI,"CAIXA DE PASSAGEM, EM PVC, DE 4"" X 2"", PARA ELETRODUTO FLEXIVEL CORRUGADO",Material,,UN,"1,0000000","1,42","1,42"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.5.1.13 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 91936 ,SINAPI,"CAIXA OCTOGONAL 4"" X 4"", PVC, INSTALADA EM LAJE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023","Instalações Elétricas - Eletrodutos Embutidos, Cabos, Caixas, Tomadas e Interruptores",,UN,"1,0000000","13,34","13,34"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1768747","24,99","4,42"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1768747","29,57","5,23"
Insumo, 00012001 ,SINAPI,"CAIXA OCTOGONAL DE FUNDO MOVEL, EM PVC, DE 4"" X 4"", PARA ELETRODUTO FLEXIVEL CORRUGADO",Material,,UN,"1,0000000","3,69","3,69"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.5.2 ,,,LUMINÁRIAS E LÂMPADAS,,,,,,
 10.5.2.1 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, J0102 ,Próprio,"LUMINÁRIA TIPO CALHA, DE EMBUTIR, CORPO/REFLETOR E ALETAS  FABRICADAS EM CHAPA DE AÇO TRATADA E PINTADA EM EPOXI BRANCO, COM  DUAS LÂMPADAS TUBULARES LED DE 18W",INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA,,UN,"1,0000000","126,79","126,79"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1415781","24,99","3,53"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,4530182","29,57","13,39"
Insumo, 11434 ,ORSE,"Luminária fluorescente 2 x 40w, ref: A 407, de embutir  Abalux ou similar",Material,,un,"1,0000000","94,11","94,11"
Insumo, 00039387 ,SINAPI,"LAMPADA LED TUBULAR BIVOLT 18/20 W, BASE G13",Material,,UN,"2,0000000","7,88","15,76"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.5.2.2 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, J0103 ,Próprio,"LUMINÁRIA TIPO CALHA, DE SOBREPOR/EMBUTIR, CORPO/REFLETOR E ALETAS  FABRICADAS EM CHAPA DE AÇO TRATADA E PINTADA EM EPOXI BRANCO, COM  DUAS LÂMPADAS TUBULARES LED DE 9W",INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA,,UN,"1,0000000","130,31","130,31"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1415093","24,99","3,53"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,4527979","29,57","13,38"
Insumo, 7294 ,ORSE,"Luminária fluorescente 2 x 20 w, ref: A01, Abalux ou similar",Material,,Un,"1,0000000","102,40","102,40"
Insumo, 00039386 ,SINAPI,"LAMPADA LED TUBULAR BIVOLT 9/10 W, BASE G13",Material,,UN,"2,0000000","5,50","11,00"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.5.2.3 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 97599 ,SINAPI,"LUMINÁRIA DE EMERGÊNCIA, COM 30 LÂMPADAS LED DE 2 W, SEM REATOR - FORNECIMENTO E INSTALAÇÃO. AF_09/2024",Iluminação Predial e Monitoramento,,UN,"1,0000000","15,55","15,55"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0437286","24,99","1,09"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1399315","29,57","4,13"
Insumo, 00038774 ,SINAPI,"LUMINARIA DE EMERGENCIA 30 LEDS, POTENCIA 2 W, BATERIA DE LITIO, AUTONOMIA DE 6 HORAS",Material,,UN,"1,0000000","10,33","10,33"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.5.2.4 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, J0206 ,Próprio,"LUMINÁRIA DE EMERGÊNCIA DE SOBREPOR, COM BLOCO AUTÔNOMO, 1200  LUMENS",INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA,,UN,"1,0000000","173,41","173,41"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0404587","24,99","1,01"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1293654","29,57","3,82"
Insumo, 12699 ,ORSE,"Luminária de emergência, de sobrepor, tipo balizamento com bloco autônomo, com autonomia de 3h, modelo LLE 1106-1DFB, da KBR ou similar",Material,,un,"1,0000000","168,58","168,58"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.5.2.5 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, J0233 ,Próprio,FITA DE LED DE BAIXA LUMINOSIDADE AUTOCOLANTE SEM PERFIL E COM FONTE,SEDI - SERVIÇOS DIVERSOS,,M,"1,0000000","24,97","24,97"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1582289","29,57","4,67"
Insumo, 14330 ,ORSE,"Fita de LED auto colante com fonte bivolt, 5m, e = 8mm, 2.700K (luz amarela),tipo cob, g-light ou similar",Material,,un,"0,2000000","101,54","20,30"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.5.3 ,,,"CANALETAS, ELETRODUTOS E ACESSÓRIOS",,,,,,
 10.5.3.1 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 91867 ,SINAPI,"ELETRODUTO RÍGIDO ROSCÁVEL, PVC, DN 25 MM (3/4""), PARA CIRCUITOS TERMINAIS, INSTALADO EM LAJE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023","Instalações Elétricas - Eletrodutos Embutidos, Cabos, Caixas, Tomadas e Interruptores",,M,"1,0000000","7,56","7,56"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0746822","24,99","1,86"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0746822","29,57","2,20"
Insumo, 00002674 ,SINAPI,"ELETRODUTO DE PVC RIGIDO ROSCAVEL DE 3/4 "", SEM LUVA",Material,,M,"1,0170000","3,43","3,48"
Insumo, 00043132 ,SINAPI,"ARAME RECOZIDO 16 BWG, D = 1,65 MM (0,016 KG/M) OU 18 BWG, D = 1,25 MM (0,01 KG/M)",Material,,KG,"0,0018000","12,66","0,02"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.5.3.2 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 91871 ,SINAPI,"ELETRODUTO RÍGIDO ROSCÁVEL, PVC, DN 25 MM (3/4""), PARA CIRCUITOS TERMINAIS, INSTALADO EM PAREDE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023","Instalações Elétricas - Eletrodutos Embutidos, Cabos, Caixas, Tomadas e Interruptores",,M,"1,0000000","11,17","11,17"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1412319","24,99","3,52"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1412319","29,57","4,17"
Insumo, 00002674 ,SINAPI,"ELETRODUTO DE PVC RIGIDO ROSCAVEL DE 3/4 "", SEM LUVA",Material,,M,"1,0170000","3,43","3,48"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.5.3.3 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 91902 ,SINAPI,"CURVA 90 GRAUS PARA ELETRODUTO, PVC, ROSCÁVEL, DN 25 MM (3/4""), PARA CIRCUITOS TERMINAIS, INSTALADA EM LAJE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023","Instalações Elétricas - Eletrodutos Embutidos, Cabos, Caixas, Tomadas e Interruptores",,UN,"1,0000000","8,69","8,69"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1292502","24,99","3,22"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1292502","29,57","3,82"
Insumo, 00001879 ,SINAPI,"CURVA 90 GRAUS, LONGA, DE PVC RIGIDO ROSCAVEL, DE 3/4"", PARA ELETRODUTO",Material,,UN,"1,0000000","1,65","1,65"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.5.3.4 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 91914 ,SINAPI,"CURVA 90 GRAUS PARA ELETRODUTO, PVC, ROSCÁVEL, DN 25 MM (3/4""), PARA CIRCUITOS TERMINAIS, INSTALADA EM PAREDE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023","Instalações Elétricas - Eletrodutos Embutidos, Cabos, Caixas, Tomadas e Interruptores",,UN,"1,0000000","14,49","14,49"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,2353864","24,99","5,88"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,2353864","29,57","6,96"
Insumo, 00001879 ,SINAPI,"CURVA 90 GRAUS, LONGA, DE PVC RIGIDO ROSCAVEL, DE 3/4"", PARA ELETRODUTO",Material,,UN,"1,0000000","1,65","1,65"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.5.3.5 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 91879 ,SINAPI,"LUVA PARA ELETRODUTO, PVC, ROSCÁVEL, DN 25 MM (3/4""), PARA CIRCUITOS TERMINAIS, INSTALADA EM LAJE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023","Instalações Elétricas - Eletrodutos Embutidos, Cabos, Caixas, Tomadas e Interruptores",,UN,"1,0000000","5,40","5,40"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0861164","24,99","2,15"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0861164","29,57","2,54"
Insumo, 00001891 ,SINAPI,"LUVA EM PVC RIGIDO ROSCAVEL, DE 3/4"", PARA ELETRODUTO",Material,,UN,"1,0000000","0,71","0,71"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.5.3.6 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 91884 ,SINAPI,"LUVA PARA ELETRODUTO, PVC, ROSCÁVEL, DN 25 MM (3/4""), PARA CIRCUITOS TERMINAIS, INSTALADA EM PAREDE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023","Instalações Elétricas - Eletrodutos Embutidos, Cabos, Caixas, Tomadas e Interruptores",,UN,"1,0000000","9,27","9,27"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1571570","24,99","3,92"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1571570","29,57","4,64"
Insumo, 00001891 ,SINAPI,"LUVA EM PVC RIGIDO ROSCAVEL, DE 3/4"", PARA ELETRODUTO",Material,,UN,"1,0000000","0,71","0,71"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.5.3.7 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 91868 ,SINAPI,"ELETRODUTO RÍGIDO ROSCÁVEL, PVC, DN 32 MM (1""), PARA CIRCUITOS TERMINAIS, INSTALADO EM LAJE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023","Instalações Elétricas - Eletrodutos Embutidos, Cabos, Caixas, Tomadas e Interruptores",,M,"1,0000000","10,42","10,42"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0907582","24,99","2,26"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0907582","29,57","2,68"
Insumo, 00002685 ,SINAPI,"ELETRODUTO DE PVC RIGIDO ROSCAVEL DE 1 "", SEM LUVA",Material,,M,"1,0170000","5,37","5,46"
Insumo, 00043132 ,SINAPI,"ARAME RECOZIDO 16 BWG, D = 1,65 MM (0,016 KG/M) OU 18 BWG, D = 1,25 MM (0,01 KG/M)",Material,,KG,"0,0020000","12,66","0,02"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.5.3.8 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 91905 ,SINAPI,"CURVA 90 GRAUS PARA ELETRODUTO, PVC, ROSCÁVEL, DN 32 MM (1""), PARA CIRCUITOS TERMINAIS, INSTALADA EM LAJE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023","Instalações Elétricas - Eletrodutos Embutidos, Cabos, Caixas, Tomadas e Interruptores",,UN,"1,0000000","11,02","11,02"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1563079","24,99","3,90"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1563079","29,57","4,62"
Insumo, 00001884 ,SINAPI,"CURVA 90 GRAUS, LONGA, DE PVC RIGIDO ROSCAVEL, DE 1"", PARA ELETRODUTO",Material,,UN,"1,0000000","2,50","2,50"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.5.3.9 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 91880 ,SINAPI,"LUVA PARA ELETRODUTO, PVC, ROSCÁVEL, DN 32 MM (1""), PARA CIRCUITOS TERMINAIS, INSTALADA EM LAJE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023","Instalações Elétricas - Eletrodutos Embutidos, Cabos, Caixas, Tomadas e Interruptores",,UN,"1,0000000","6,70","6,70"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1047398","24,99","2,61"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1047398","29,57","3,09"
Insumo, 00001892 ,SINAPI,"LUVA EM PVC RIGIDO ROSCAVEL, DE 1"", PARA ELETRODUTO",Material,,UN,"1,0000000","1,00","1,00"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.5.3.10 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, J0011 ,Próprio,"CANALETA EVOLUTIVA SISTEMA DLP 60X50 MM COM DIVISÓRIA INTERNA -
FORNECIMENTO E INSTALAÇÃO",SEDI - SERVIÇOS DIVERSOS,,M,"1,0000000","69,10","69,10"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1012841","24,99","2,53"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1324484","29,57","3,91"
Insumo, I6173 ,SEINFRA,CANALETA SISTEMA DLP 60MM X 50MM,Material,,M,"1,0000000","62,66","62,66"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.5.3.11 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, J0015 ,Próprio,"SUPORTE PARA 3 MÓDULOS DE TOMADAS E/OU INTERRUPTORES EM CANALETA
EVOLUTIVA - FORNECIMENTO E INSTALAÇÃO",SEDI - SERVIÇOS DIVERSOS,,UN,"1,0000000","18,78","18,78"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0791730","24,99","1,97"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0791730","29,57","2,34"
Insumo, I6168 ,SEINFRA,SUPORTE DE EQUIPAMENTOS,Material,,UN,"1,0000000","14,47","14,47"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.5.3.12 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, 91947 ,SINAPI,"SUPORTE PARAFUSADO COM PLACA DE ENCAIXE 4"" X 2"" BAIXO (0,30 M DO PISO) PARA PONTO ELÉTRICO - FORNECIMENTO E INSTALAÇÃO. AF_03/2023","Instalações Elétricas - Eletrodutos Embutidos, Cabos, Caixas, Tomadas e Interruptores",,UN,"1,0000000","7,58","7,58"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0725877","24,99","1,81"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0725877","29,57","2,14"
Insumo, 00038094 ,SINAPI,"ESPELHO / PLACA DE 3 POSTOS 4"" X 2"", PARA INSTALACAO DE TOMADAS E INTERRUPTORES",Material,,UN,"1,0000000","2,39","2,39"
Insumo, 00038099 ,SINAPI,"SUPORTE DE FIXACAO PARA ESPELHO / PLACA 4"" X 2"", PARA 3 MODULOS, PARA INSTALACAO DE TOMADAS E INTERRUPTORES (SOMENTE SUPORTE)",Material,,UN,"1,0000000","1,24","1,24"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.5.4 ,,,ELETROCALHAS E ACESSÓRIOS,,,,,,
 10.5.4.1 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, J0212 ,Próprio,ELETROCALHA PERFURADA 50x50mm,SEDI - SERVIÇOS DIVERSOS,,M,"1,0000000","51,19","51,19"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,7178389","24,99","17,93"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,7178389","29,57","21,22"
Insumo, I1049 ,SEINFRA,DUTO PERFURADO-ELETROCALHA CHAPA DE AÇO (50X50)MM,Material,,M,"1,0000000","12,04","12,04"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.5.4.2 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, J0213 ,Próprio,SUPORTE VERTICAL 50X50MM PARA ELETROCALHA METÁLICA,SEDI - SERVIÇOS DIVERSOS,,M,"1,0000000","13,67","13,67"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1595534","24,99","3,98"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1595534","29,57","4,71"
Insumo, 4112 ,ORSE,Suporte vertical 50 x 50mm para fixação de eletrocalha metálica (ref. Mopa ousimilar),Material,,un,"1,0000000","3,00","3,00"
Insumo, 00039997 ,SINAPI,"PORCA ZINCADA, SEXTAVADA, DIAMETRO 1/4""",Material,,UN,"2,0000000","0,30","0,60"
Insumo, I9566 ,SEINFRA,"ARRUELA DE PRESSÃO 3/8"" AÇO CARBONO",Material,,UN,"2,0000000","0,08","0,16"
Insumo, 00011976 ,SINAPI,"CHUMBADOR DE ACO ZINCADO, DIAMETRO 1/4"" COM PARAFUSO 1/4"" X 40 MM",Material,,UN,"1,0000000","1,22","1,22"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.5.4.3 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, J0214 ,Próprio,TÊ HORIZONTAL PARA ELETROCALHA PERFURADA 50x50mm,SEDI - SERVIÇOS DIVERSOS,,M,"1,0000000","28,78","28,78"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1604588","24,99","4,00"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1604588","29,57","4,74"
Insumo, 6611 ,ORSE,Tê horizontal 50 x 50 mm para eletrocalha metálica (ref. Mopa ou similar),Material,,un,"1,0000000","14,28","14,28"
Insumo, I9919 ,SEINFRA,"PARAFUSO CABEÇA LENTILHA AUTO TRAVANTE 1/4"" X 1/2""",Material,,UN,"12,0000000","0,10","1,20"
Insumo, 00039997 ,SINAPI,"PORCA ZINCADA, SEXTAVADA, DIAMETRO 1/4""",Material,,UN,"12,0000000","0,30","3,60"
Insumo, I9566 ,SEINFRA,"ARRUELA DE PRESSÃO 3/8"" AÇO CARBONO",Material,,UN,"12,0000000","0,08","0,96"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.5.4.4 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, J0215 ,Próprio,EMENDA INTERNA PARA ELETROCALHA PERFURADA 50x50mm,SEDI - SERVIÇOS DIVERSOS,,M,"1,0000000","12,32","12,32"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1600061","24,99","3,99"
Composição Auxiliar, 88264 ,SINAPI,ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,1600061","29,57","4,73"
Insumo, 887 ,ORSE,Emenda interna 50 x 50 mm com base lisa  para eletrocalha metálica (ref. vl 3.01-21-50/50 ge valemam ou similar),Material,,un,"1,0000000","1,68","1,68"
Insumo, I9919 ,SEINFRA,"PARAFUSO CABEÇA LENTILHA AUTO TRAVANTE 1/4"" X 1/2""",Material,,UN,"4,0000000","0,10","0,40"
Insumo, 00039997 ,SINAPI,"PORCA ZINCADA, SEXTAVADA, DIAMETRO 1/4""",Material,,UN,"4,0000000","0,30","1,20"
Insumo, I9566 ,SEINFRA,"ARRUELA DE PRESSÃO 3/8"" AÇO CARBONO",Material,,UN,"4,0000000","0,08","0,32"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 10.5.4.5 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, J0189 ,Próprio,"SAÍDA HORIZONTAL PARA ELETRODUTO ATÉ 1""",INEL - INSTALAÇÃO ELÉTRICA/ELETRIFICAÇÃO E ILUMINAÇÃO EXTERNA,,UN,"1,0000000","8,39","8,39"
Composição Auxiliar, 88247 ,SINAPI,AUXILIAR DE ELETRICISTA COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"0,0955509","24,99","2,38"
