,,Obra,,Bancos,,,B.D.I.,Encargos Sociais,
Insumo, 00012147 ,SINAPI,"TOMADA 2P+T 10A, 250V, CONJUNTO MONTADO PARA SOBREPOR 4"" X 2"" (CAIXA + MODULO)",Material,,UN,"3,0000000","11,53","34,59"
Insumo, 00007602 ,SINAPI,"TORNEIRA DE METAL AMARELO, PARA TANQUE / JARDIM, DE PAREDE, COM BICO PLASTICO, CANO CURTO, AREA EXTERNA, PADRAO POPULAR / USO GERAL, 1/2"" OU 3/4""",Material,,UN,"1,0000000","35,22","35,22"
Insumo, 00009836 ,SINAPI,"TUBO PVC SERIE NORMAL, DN 100 MM, PARA ESGOTO PREDIAL (NBR 5688)",Material,,M,"3,0000000","11,99","35,97"
Insumo, 00009835 ,SINAPI,"TUBO PVC SERIE NORMAL, DN 40 MM, PARA ESGOTO PREDIAL (NBR 5688)",Material,,M,"3,0000000","5,24","15,72"
Insumo, 00009838 ,SINAPI,"TUBO PVC SERIE NORMAL, DN 50 MM, PARA ESGOTO PREDIAL (NBR 5688)",Material,,M,"3,0000000","8,65","25,95"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
 2.8 ,Código,Banco,Descrição,Tipo,,Und,Quant.,Valor Unit,Total
Composição, B0050 ,Próprio,"EXECUÇÃO DE ALMOXARIFADO EM CANTEIRO DE OBRA EM CHAPA DE MADEIRA COMPENSADA, ÁREA DE 21,16 M2",CANT - CANTEIRO DE OBRAS,,UN,"1,0000000","6.095,96","6.095,96"
Composição Auxiliar, 88262 ,SINAPI,CARPINTEIRO DE FORMAS COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"23,8684782","28,79","687,17"
Composição Auxiliar, 88309 ,SINAPI,PEDREIRO COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"5,9671195","29,21","174,29"
Composição Auxiliar, 88316 ,SINAPI,SERVENTE COM ENCARGOS COMPLEMENTARES,Livro SINAPI: Cálculos e Parâmetros,,H,"29,8355977","23,37","697,25"
Composição Auxiliar, 94963 ,SINAPI,"CONCRETO FCK = 15MPA, TRAÇO 1:3,4:3,5 (EM MASSA SECA DE CIMENTO/ AREIA MÉDIA/ BRITA 1) - PREPARO MECÂNICO COM BETONEIRA 400 L. AF_05/2021",Produção de Concreto,,m³,"0,3240000","390,16","126,41"
Composição Auxiliar, 98680 ,SINAPI,"PISO CIMENTADO, TRAÇO 1:3 (CIMENTO E AREIA), ACABAMENTO LISO, ESPESSURA 3,0 CM, PREPARO MECÂNICO DA ARGAMASSA. AF_09/2020",Pisos,,m²,"21,1600000","43,27","915,59"
Insumo, 00010422 ,SINAPI,"BACIA SANITARIA (VASO) COM CAIXA ACOPLADA, SIFAO APARENTE, DE LOUCA BRANCA (SEM ASSENTO)",Material,,UN,"1,0000000","328,98","328,98"
Insumo, I0197 ,SEINFRA,"BARROTE DE 2""x2""",Material,,M,"20,0000000","5,51","110,20"
Insumo, I0198 ,SEINFRA,"PONTALETE / BARROTE DE 3""x3"" - APARELHADO",Material,,M,"26,0000000","17,69","459,94"
Insumo, 00005090 ,SINAPI,"CADEADO SIMPLES, CORPO EM LATAO MACICO, COM LARGURA DE 25 MM E ALTURA DE APROX 25 MM, HASTE CEMENTADA (NAO LONGA), EM ACO TEMPERADO COM DIAMETRO DE APROX 5,0 MM, INCLUINDO 2 CHAVES",Material,,UN,"1,0000000","17,28","17,28"
Insumo, 00001030 ,SINAPI,"CAIXA DE DESCARGA PLASTICA PARA BACIA / VASO SANITARIO, EXTERNA, CAPACIDADE 9 LITROS, PUXADOR FIO DE NYLON, NAO INCLUSO CANO, BOLSA, ENGATE",Material,,UN,"1,0000000","33,12","33,12"
