,,Obra,,Bancos,,,B.D.I.,Encargos Sociais,,,,,,
,,Construção do Bloco O de salas de aula do Campus Juazeiro do Norte,,"SINAPI - 04/2025 - Ceará
10.1.5.7,104737,SINAPI,"REATERRO MANUAL DE VALAS, COM PLACA VIBRATÓRIA. AF_08/2023",M3,"R$ 18,73","5,06","R$ 94,77","R$ 115,09",,,,,,
10.1.6,,,CAIXAS DE PASSAGEM E MANILHAS,,,,,,,,,,,
10.1.6.1,97888,SINAPI,"CAIXA ENTERRADA ELÉTRICA RETANGULAR, EM ALVENARIA COM TIJOLOS CERÂMICOS MACIÇOS, FUNDO COM BRITA, DIMENSÕES INTERNAS: 0,6X0,6X0,6 M. AF_12/2020",UN,"R$ 417,61","5,00","R$ 2.088,05","R$ 2.535,93",,,,,,
10.1.6.2,95565,SINAPI,"TUBO DE CONCRETO PARA REDES COLETORAS DE ÁGUAS PLUVIAIS, DIÂMETRO DE 300MM, JUNTA RÍGIDA, INSTALADO EM LOCAL COM BAIXO NÍVEL DE INTERFERÊNCIAS - FORNECIMENTO E ASSENTAMENTO. AF_03/2024",M,"R$ 120,38","12,30","R$ 1.480,67","R$ 1.798,27",,,,,,
10.1.6.3,93358,SINAPI,ESCAVAÇÃO MANUAL DE VALA. AF_09/2024,M3,"R$ 73,77","8,71","R$ 642,53","R$ 780,35",,,,,,
10.1.6.4,104737,SINAPI,"REATERRO MANUAL DE VALAS, COM PLACA VIBRATÓRIA. AF_08/2023",M3,"R$ 18,73","6,15","R$ 115,18","R$ 139,88",,,,,,
10.1.7,,,QGBT,,,,,,,,,,,
10.1.7.1,J0176,UFCA,"QUADRO DE DISTRIBUIÇÃO GERAL BAIXA TENSÃO, C/ACESSÓRIOS- 1UN DE MEDIÇÃO - FORNECIMENTO E INSTALAÇÃO",UN,"R$ 1.444,60","1,00","R$ 1.444,60","R$ 1.754,46",,,,,,
10.1.7.10,91927,SINAPI,"CABO DE COBRE FLEXÍVEL ISOLADO, 2,5 MM², ANTI-CHAMA 0,6/1,0 KV, PARA CIRCUITOS TERMINAIS - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",M,"R$ 4,06","15,00","R$ 60,90","R$ 73,96",,,,,,
10.1.7.2,101898,SINAPI,"DISJUNTOR TERMOMAGNÉTICO TRIPOLAR, CORRENTE NOMINAL DE 400A - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",UN,"R$ 1.028,23","1,00","R$ 1.028,23","R$ 1.248,78",,,,,,
10.1.7.3,93669,SINAPI,"DISJUNTOR TRIPOLAR TIPO DIN, CORRENTE NOMINAL DE 20A - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",UN,"R$ 58,96","1,00","R$ 58,96","R$ 71,60",,,,,,
10.1.7.4,93672,SINAPI,"DISJUNTOR TRIPOLAR TIPO DIN, CORRENTE NOMINAL DE 40A - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",UN,"R$ 68,92","1,00","R$ 68,92","R$ 83,70",,,,,,
10.1.7.5,93673,SINAPI,"DISJUNTOR TRIPOLAR TIPO DIN, CORRENTE NOMINAL DE 50A - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",UN,"R$ 76,73","2,00","R$ 153,46","R$ 186,37",,,,,,
10.1.7.6,101894,SINAPI,"DISJUNTOR TRIPOLAR TIPO NEMA, CORRENTE NOMINAL DE 60 ATÉ 100A - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",UN,"R$ 123,08","3,00","R$ 369,24","R$ 448,44",,,,,,
10.1.7.7,J0177,UFCA,DISPOSITIVO DE PROTEÇÃO CONTRA SURTOS DE TENSÃO (DPS) - 40 KA/275V - FORNECIMENTO E INSTALAÇÃO,UN,"R$ 91,42","4,00","R$ 365,68","R$ 444,11",,,,,,
10.1.7.8,J0178,UFCA,MULTIMEDIDOR DE GRANDEZAS ELÉTRICAS - FORNECIMENTO E INSTALAÇÃO,UN,"R$ 2.272,81","1,00","R$ 2.272,81","R$ 2.760,32",,,,,,
10.1.7.9,J0180,UFCA,TRANSFORMADOR DE CORRENTE EM QD - FAIXA 200 A 400/5A - FORNECIMENTO E INSTALAÇÃO,UN,"R$ 143,07","3,00","R$ 429,21","R$ 521,27",,,,,,
10.2,,,ILUMINAÇÃO EXTERNA,,,,,,,,,,,
10.2.1,,,"POSTES, LUMINÁRIAS, CAIXAS, CABOS E ACESSÓRIOS",,,,,,,,,,,
10.2.1.1,J0170,UFCA,"POSTE CONICO CONTINUO EM ACO GALVANIZADO, RETO, ENGASTADO, H = 6 M",UN,"R$ 1.161,93","2,00","R$ 2.323,86","R$ 2.822,32",,,,,,
10.2.1.2,J0171,UFCA,POSTE CONCRETO SEÇÃO CIRCULAR COMPRIMENTO=12M CARGA NOMINAL MENOR OU IGUAL A 1000 DN,UN,"R$ 1.480,77","10,00","R$ 14.807,70","R$ 17.983,95",,,,,,
10.2.1.3,J0172,UFCA,"BRACO P/ LUMINARIA PUBLICA (DUPLO) 2 X 1,50 M, EM TUBO ACO GALV 3/4, P/ FIXACAO EM POSTE OU PAREDE - FORNECIMENTO E INSTALACAO",UN,"R$ 148,12","16,00","R$ 2.369,92","R$ 2.878,26",,,,,,
10.2.1.4,101657,SINAPI,"LUMINÁRIA DE LED PARA ILUMINAÇÃO PÚBLICA, DE 98 W ATÉ 137 W - FORNECIMENTO E INSTALAÇÃO. AF_02/2025_PS",UN,"R$ 320,29","4,00","R$ 1.281,16","R$ 1.555,96",,,,,,
10.2.1.5,101658,SINAPI,"LUMINÁRIA DE LED PARA ILUMINAÇÃO PÚBLICA, DE 138 W ATÉ 180 W - FORNECIMENTO E INSTALAÇÃO. AF_02/2025_PS",UN,"R$ 411,66","28,00","R$ 11.526,48","R$ 13.998,90",,,,,,
10.2.1.6,J0234,UFCA,"REFLETOR DE LED EM ALUMÍNIO COM DRIVE INTERNO, IP 65, LUZ BRANCA, POTÊNCIA ATÉ 50W.",UN,"R$ 31,80","5,00","R$ 159,00","R$ 193,10",,,,,,
