,,Obra,,Bancos,,,B.D.I.,Encargos Sociais,,,,,,
,,Construção do Bloco O de salas de aula do Campus Juazeiro do Norte,,"SINAPI - 04/2025 - Ceará
10.6.3.5,97888,SINAPI,"CAIXA ENTERRADA ELÉTRICA RETANGULAR, EM ALVENARIA COM TIJOLOS CERÂMICOS MACIÇOS, FUNDO COM BRITA, DIMENSÕES INTERNAS: 0,6X0,6X0,6 M. AF_12/2020",UN,"R$ 417,61","7,00","R$ 2.923,27","R$ 3.550,31",,,,,,
10.6.3.6,91867,SINAPI,"ELETRODUTO RÍGIDO ROSCÁVEL, PVC, DN 25 MM (3/4""), PARA CIRCUITOS TERMINAIS, INSTALADO EM LAJE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",M,"R$ 7,56","6,00","R$ 45,36","R$ 55,08",,,,,,
10.6.3.7,91869,SINAPI,"ELETRODUTO RÍGIDO ROSCÁVEL, PVC, DN 40 MM (1 1/4""), PARA CIRCUITOS TERMINAIS, INSTALADO EM LAJE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",M,"R$ 13,19","90,00","R$ 1.187,10","R$ 1.441,73",,,,,,
10.6.3.8,J0202,UFCA,"ELETRODUTO DE AÇO GALVANIZADO, MÉDIO, DN 25 MM (1'') - FORNECIMENTO E INSTALAÇÃO",M,"R$ 17,73","9,00","R$ 159,57","R$ 193,79",,,,,,
10.6.3.9,J0203,UFCA,LUVA PARA ELETRODUTO DE AÇO GALVANIZADO DN 25 MM (1'') - FORNECIMENTO E INSTALAÇÃO,UN,"R$ 10,34","3,00","R$ 31,02","R$ 37,67",,,,,,
10.6.4,,,MANILHAS,,,,,,,,,,,
10.6.4.1,95565,SINAPI,"TUBO DE CONCRETO PARA REDES COLETORAS DE ÁGUAS PLUVIAIS, DIÂMETRO DE 300MM, JUNTA RÍGIDA, INSTALADO EM LOCAL COM BAIXO NÍVEL DE INTERFERÊNCIAS - FORNECIMENTO E ASSENTAMENTO. AF_03/2024",M,"R$ 120,38","8,00","R$ 963,04","R$ 1.169,61",,,,,,
10.6.4.2,93358,SINAPI,ESCAVAÇÃO MANUAL DE VALA. AF_09/2024,M3,"R$ 73,77","3,40","R$ 250,81","R$ 304,60",,,,,,
10.6.4.3,104737,SINAPI,"REATERRO MANUAL DE VALAS, COM PLACA VIBRATÓRIA. AF_08/2023",M3,"R$ 18,73","3,40","R$ 63,68","R$ 77,33",,,,,,
10.7,,,QUADROS DISTRIBUIDORES E DE BOMBAS,,,,,,,,,,,
10.7.1,,,QLF-T,,,,,,,,,,,
10.7.1.1,101881,SINAPI,"QUADRO DE DISTRIBUIÇÃO DE ENERGIA EM CHAPA DE AÇO GALVANIZADO, DE EMBUTIR, COM BARRAMENTO TRIFÁSICO, PARA 40 DISJUNTORES DIN 100A - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",UN,"R$ 710,67","1,00","R$ 710,67","R$ 863,10",,,,,,
10.7.1.2,93654,SINAPI,"DISJUNTOR MONOPOLAR TIPO DIN, CORRENTE NOMINAL DE 16A - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",UN,"R$ 9,58","4,00","R$ 38,32","R$ 46,53",,,,,,
10.7.1.3,93655,SINAPI,"DISJUNTOR MONOPOLAR TIPO DIN, CORRENTE NOMINAL DE 20A - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",UN,"R$ 10,65","25,00","R$ 266,25","R$ 323,36",,,,,,
10.7.1.4,101894,SINAPI,"DISJUNTOR TRIPOLAR TIPO NEMA, CORRENTE NOMINAL DE 60 ATÉ 100A - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",UN,"R$ 123,08","2,00","R$ 246,16","R$ 298,96",,,,,,
10.7.1.5,J0177,UFCA,DISPOSITIVO DE PROTEÇÃO CONTRA SURTOS DE TENSÃO (DPS) - 40 KA/275V - FORNECIMENTO E INSTALAÇÃO,UN,"R$ 91,42","4,00","R$ 365,68","R$ 444,11",,,,,,
10.7.1.6,J0137,UFCA,TERMINAL A COMPRESSÃO PARA CABO DE 25 mm² A 35mm²,UN,"R$ 6,87","10,00","R$ 68,70","R$ 83,43",,,,,,
10.7.1.7,J0043,UFCA,"DISJUNTOR DIFERENCIAL DR – 16A – 40A, 30mA",UN,"R$ 133,20","2,00","R$ 266,40","R$ 323,54",,,,,,
10.7.2,,,QLF-S,,,,,,,,,,,
10.7.2.1,101881,SINAPI,"QUADRO DE DISTRIBUIÇÃO DE ENERGIA EM CHAPA DE AÇO GALVANIZADO, DE EMBUTIR, COM BARRAMENTO TRIFÁSICO, PARA 40 DISJUNTORES DIN 100A - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",UN,"R$ 710,67","1,00","R$ 710,67","R$ 863,10",,,,,,
10.7.2.2,93654,SINAPI,"DISJUNTOR MONOPOLAR TIPO DIN, CORRENTE NOMINAL DE 16A - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",UN,"R$ 9,58","4,00","R$ 38,32","R$ 46,53",,,,,,
10.7.2.3,93655,SINAPI,"DISJUNTOR MONOPOLAR TIPO DIN, CORRENTE NOMINAL DE 20A - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",UN,"R$ 10,65","19,00","R$ 202,35","R$ 245,75",,,,,,
10.7.2.4,101894,SINAPI,"DISJUNTOR TRIPOLAR TIPO NEMA, CORRENTE NOMINAL DE 60 ATÉ 100A - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",UN,"R$ 123,08","2,00","R$ 246,16","R$ 298,96",,,,,,
10.7.2.5,J0177,UFCA,DISPOSITIVO DE PROTEÇÃO CONTRA SURTOS DE TENSÃO (DPS) - 40 KA/275V - FORNECIMENTO E INSTALAÇÃO,UN,"R$ 91,42","4,00","R$ 365,68","R$ 444,11",,,,,,
10.7.2.6,J0136,UFCA,TERMINAL A COMPRESSÃO PARA CABO DE 10 mm² A 16mm²,UN,"R$ 5,96","10,00","R$ 59,60","R$ 72,38",,,,,,
10.7.2.7,J0043,UFCA,"DISJUNTOR DIFERENCIAL DR – 16A – 40A, 30mA",UN,"R$ 133,20","2,00","R$ 266,40","R$ 323,54",,,,,,
10.7.3,,,QFAC-T,,,,,,,,,,,
10.7.3.1,101880,SINAPI,"QUADRO DE DISTRIBUIÇÃO DE ENERGIA EM CHAPA DE AÇO GALVANIZADO, DE EMBUTIR, COM BARRAMENTO TRIFÁSICO, PARA 30 DISJUNTORES DIN 150A - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",UN,"R$ 496,73","1,00","R$ 496,73","R$ 603,27",,,,,,
10.7.3.2,93656,SINAPI,"DISJUNTOR MONOPOLAR TIPO DIN, CORRENTE NOMINAL DE 25A - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",UN,"R$ 10,65","10,00","R$ 106,50","R$ 129,34",,,,,,
10.7.3.3,93657,SINAPI,"DISJUNTOR MONOPOLAR TIPO DIN, CORRENTE NOMINAL DE 32A - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",UN,"R$ 11,93","10,00","R$ 119,30","R$ 144,88",,,,,,
10.7.3.4,101894,SINAPI,"DISJUNTOR TRIPOLAR TIPO NEMA, CORRENTE NOMINAL DE 60 ATÉ 100A - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",UN,"R$ 123,08","1,00","R$ 123,08","R$ 149,48",,,,,,
10.7.3.5,101895,SINAPI,"DISJUNTOR TERMOMAGNÉTICO TRIPOLAR, CORRENTE NOMINAL DE 125A - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",UN,"R$ 328,00","1,00","R$ 328,00","R$ 398,35",,,,,,
10.7.3.6,J0177,UFCA,DISPOSITIVO DE PROTEÇÃO CONTRA SURTOS DE TENSÃO (DPS) - 40 KA/275V - FORNECIMENTO E INSTALAÇÃO,UN,"R$ 91,42","4,00","R$ 365,68","R$ 444,11",,,,,,
10.7.4,,,QFAC-S,,,,,,,,,,,
10.7.4.1,101880,SINAPI,"QUADRO DE DISTRIBUIÇÃO DE ENERGIA EM CHAPA DE AÇO GALVANIZADO, DE EMBUTIR, COM BARRAMENTO TRIFÁSICO, PARA 30 DISJUNTORES DIN 150A - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",UN,"R$ 496,73","1,00","R$ 496,73","R$ 603,27",,,,,,
10.7.4.2,93655,SINAPI,"DISJUNTOR MONOPOLAR TIPO DIN, CORRENTE NOMINAL DE 20A - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",UN,"R$ 10,65","8,00","R$ 85,20","R$ 103,47",,,,,,
10.7.4.3,93657,SINAPI,"DISJUNTOR MONOPOLAR TIPO DIN, CORRENTE NOMINAL DE 32A - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",UN,"R$ 11,93","11,00","R$ 131,23","R$ 159,37",,,,,,
10.7.4.4,101894,SINAPI,"DISJUNTOR TRIPOLAR TIPO NEMA, CORRENTE NOMINAL DE 60 ATÉ 100A - FORNECIMENTO E INSTALAÇÃO. AF_10/2020",UN,"R$ 123,08","2,00","R$ 246,16","R$ 298,96",,,,,,
10.7.4.5,J0177,UFCA,DISPOSITIVO DE PROTEÇÃO CONTRA SURTOS DE TENSÃO (DPS) - 40 KA/275V - FORNECIMENTO E INSTALAÇÃO,UN,"R$ 91,42","4,00","R$ 365,68","R$ 444,11",,,,,,
10.7.5,,,QB RECALQUE,,,,,,,,,,,
10.7.5.1,J0108,UFCA,"QUADRO DE BOMBA DE RECALQUE, COMPLETO - PARA 1 BOMBA",UN,"R$ 830,69","3,00","R$ 2.492,07","R$ 3.026,61",,,,1,,
10.7.6,,,QB INCÊNDIO,,,,,,,,,,,
10.7.6.1,J0110,UFCA,"QUADRO DE BOMBA DE INCÊNDIO, COMPLETO - PARA 1 BOMBA",UN,"R$ 729,51","1,00","R$ 729,51","R$ 885,98",,,,,,
11.0,,,INSTALAÇÕES LÓGICA/TELEFÔNICA/SOM,,,,,,,"R$ 88.869,12","R$ 107.931,34",,,
11.1,,,INSTALAÇÃO TERMINAL,,,,,,,,,,,
11.1.1,,,RACK DE INTERNET,,,,,,,,,,,
11.1.1.1,98305,SINAPI,RACK FECHADO PARA SERVIDOR - FORNECIMENTO E INSTALAÇÃO. AF_11/2019,UN,"R$ 2.167,60","2,00","R$ 4.335,20","R$ 5.265,10",,,,,,
11.1.1.2,98302,SINAPI,"PATCH PANEL 24 PORTAS, CATEGORIA 6 - FORNECIMENTO E INSTALAÇÃO. AF_11/2019",UN,"R$ 968,60","7,00","R$ 6.780,20","R$ 8.234,55",,,,,,
11.1.1.3,K0016,UFCA,"ORGANIZADOR DE CABOS HORIZONTAL, ABERTO, PADRÃO RACK 19""",UN,"R$ 32,83","14,00","R$ 459,62","R$ 558,20",,,,,,
11.1.1.4,K0006,UFCA,"MINI DIO – DISTRIBUIDOR INTERNO ÓPTICO COM ACESSÓRIOS, COM 06 ACOPLADORES OPTICO DUPLEX SM LC 12 PIG TAIL SIMPLEX SM LC, INCLUSO FORNECIMENTO E INSTALAÇÃO",UN,"R$ 437,96","1,00","R$ 437,96","R$ 531,90",,,,,,
11.1.2,,,CABOS DOS CIRCUITOS TERMINAIS DE DADOS,,,,,,,,,,,
11.1.2.1,98297,SINAPI,"CABO ELETRÔNICO CATEGORIA 6, INSTALADO EM EDIFICAÇÃO INSTITUCIONAL - FORNECIMENTO E INSTALAÇÃO. AF_11/2019",M,"R$ 6,38","5914,13","R$ 37.732,14","R$ 45.825,68",,,,,,
11.1.2.2,K0014,UFCA,"MÓDULO DE TOMADA RJ45, 8 FIOS, CATEGORIA 6 - FORNECIMENTO E INSTALAÇÃO",UN,"R$ 35,39","143,00","R$ 5.060,77","R$ 6.146,30",,,,,,
11.1.2.3,K0017,UFCA,"PATCH CORD, CATEGORIA 6, EXTENSÃO DE 1,50 M",UN,"R$ 18,83","143,00","R$ 2.692,69","R$ 3.270,27",,,,,,
11.1.3,,,PONTOS DE LÓGICA,,,,,,,,,,,
11.1.3.1,91941,SINAPI,"CAIXA RETANGULAR 4"" X 2"" BAIXA (0,30 M DO PISO), PVC, INSTALADA EM PAREDE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",UN,"R$ 9,03","33,00","R$ 297,99","R$ 361,90",,,,5,terreo,
11.1.3.2,91940,SINAPI,"CAIXA RETANGULAR 4"" X 2"" MÉDIA (1,30 M DO PISO), PVC, INSTALADA EM PAREDE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",UN,"R$ 14,57","1,00","R$ 14,57","R$ 17,69",,,,,,
11.1.3.3,91939,SINAPI,"CAIXA RETANGULAR 4"" X 2"" ALTA (2,00 M DO PISO), PVC, INSTALADA EM PAREDE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",UN,"R$ 25,86","18,00","R$ 465,48","R$ 565,32",,,,10,6 terreo; 4 superior,
11.1.4,,,ELETROCALHA E ACESSÓRIOS,,,,,,,,,,,
11.1.4.1,J0007,UFCA,ELETROCALHA PERFURADA 100X100MM - FORNECIMENTO E INSTALAÇÃO,M,"R$ 74,88","98,00","R$ 7.338,24","R$ 8.912,29",,,,,,Foi usado 150x50
11.1.4.2,J0126,UFCA,MÃO FRANCESA 300MM PARA ELETROCALHA - FORNECIMENTO E INSTALAÇÃO,UN,"R$ 28,62","82,00","R$ 2.346,84","R$ 2.850,23",,,,48,30 terreo; 18 superior,Foram usados 7 suportes tirantes
11.1.4.3,J0127,UFCA,EMENDA INTERNA PARA ELETROCALHA PERFURADA 50x100mm - FORNECIMENTO E INSTALAÇÃO,UN,"R$ 12,86","32,00","R$ 411,52","R$ 499,79",,,,30,15 terreo; 15 superior,Foi usado 150x50
11.1.4.4,J0232,UFCA,CURVA HORIZONTAL 90° PARA ELETROCALHA 100x100mm - FORNECIMENTO E INSTALAÇÃO,M,"R$ 36,52","2,00","R$ 73,04","R$ 88,70",,,,2,1 terreo; 1 superior,
11.1.5,,,ELETRODUTOS E ACESSÓRIOS,,,,,,,,,,,
11.1.5.1,91867,SINAPI,"ELETRODUTO RÍGIDO ROSCÁVEL, PVC, DN 25 MM (3/4""), PARA CIRCUITOS TERMINAIS, INSTALADO EM LAJE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",M,"R$ 7,56","159,80","R$ 1.208,08","R$ 1.467,21",,,,,,
11.1.5.10,91905,SINAPI,"CURVA 90 GRAUS PARA ELETRODUTO, PVC, ROSCÁVEL, DN 32 MM (1""), PARA CIRCUITOS TERMINAIS, INSTALADA EM LAJE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",UN,"R$ 11,02","7,00","R$ 77,14","R$ 93,68",,,,,,
11.1.5.11,91880,SINAPI,"LUVA PARA ELETRODUTO, PVC, ROSCÁVEL, DN 32 MM (1""), PARA CIRCUITOS TERMINAIS, INSTALADA EM LAJE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",UN,"R$ 6,70","19,00","R$ 127,30","R$ 154,60",,,,,,
11.1.5.12,91885,SINAPI,"LUVA PARA ELETRODUTO, PVC, ROSCÁVEL, DN 32 MM (1""), PARA CIRCUITOS TERMINAIS, INSTALADA EM PAREDE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",UN,"R$ 10,54","2,00","R$ 21,08","R$ 25,60",,,,,,
11.1.5.13,91869,SINAPI,"ELETRODUTO RÍGIDO ROSCÁVEL, PVC, DN 40 MM (1 1/4""), PARA CIRCUITOS TERMINAIS, INSTALADO EM LAJE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",M,"R$ 13,19","34,00","R$ 448,46","R$ 544,65",,,,,,
11.1.5.14,91908,SINAPI,"CURVA 90 GRAUS PARA ELETRODUTO, PVC, ROSCÁVEL, DN 40 MM (1 1/4""), PARA CIRCUITOS TERMINAIS, INSTALADA EM LAJE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",UN,"R$ 13,04","7,00","R$ 91,28","R$ 110,85",,,,,,
11.1.5.15,91881,SINAPI,"LUVA PARA ELETRODUTO, PVC, ROSCÁVEL, DN 40 MM (1 1/4""), PARA CIRCUITOS TERMINAIS, INSTALADA EM LAJE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",UN,"R$ 8,38","26,00","R$ 217,88","R$ 264,61",,,,,,
11.1.5.16,91936,SINAPI,"CAIXA OCTOGONAL 4"" X 4"", PVC, INSTALADA EM LAJE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",UN,"R$ 13,34","25,00","R$ 333,50","R$ 405,03",,,,,,
11.1.5.17,104785,SINAPI,"FIXAÇÃO DE ELETRODUTOS, DIÂMETROS MENORES OU IGUAIS A 40 MM, COM ABRAÇADEIRA METÁLICA RÍGIDA TIPO D COM PARAFUSO DE FIXAÇÃO 1 1/4"", FIXADA DIRETAMENTE NA LAJE OU PAREDE. AF_09/2023",M,"R$ 12,66","209,00","R$ 2.645,94","R$ 3.213,49",,,,,,
11.1.5.18,90447,SINAPI,"RASGO LINEAR MANUAL EM ALVENARIA, PARA ELETRODUTOS, DIÂMETROS MENORES OU IGUAIS A 40 MM. AF_09/2023",M,"R$ 6,85","53,70","R$ 367,84","R$ 446,74",,,,,,
11.1.5.2,91871,SINAPI,"ELETRODUTO RÍGIDO ROSCÁVEL, PVC, DN 25 MM (3/4""), PARA CIRCUITOS TERMINAIS, INSTALADO EM PAREDE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",M,"R$ 11,17","50,50","R$ 564,08","R$ 685,07",,,,,,
11.1.5.3,91854,SINAPI,"ELETRODUTO FLEXÍVEL CORRUGADO, PVC, DN 25 MM (3/4""), PARA CIRCUITOS TERMINAIS, INSTALADO EM PAREDE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",M,"R$ 7,65","54,00","R$ 413,10","R$ 501,70",,,,,,
11.1.5.4,91902,SINAPI,"CURVA 90 GRAUS PARA ELETRODUTO, PVC, ROSCÁVEL, DN 25 MM (3/4""), PARA CIRCUITOS TERMINAIS, INSTALADA EM LAJE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",UN,"R$ 8,69","55,00","R$ 477,95","R$ 580,47",,,,,,
11.1.5.5,91914,SINAPI,"CURVA 90 GRAUS PARA ELETRODUTO, PVC, ROSCÁVEL, DN 25 MM (3/4""), PARA CIRCUITOS TERMINAIS, INSTALADA EM PAREDE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",UN,"R$ 14,49","5,00","R$ 72,45","R$ 87,99",,,,,,
11.1.5.6,91879,SINAPI,"LUVA PARA ELETRODUTO, PVC, ROSCÁVEL, DN 25 MM (3/4""), PARA CIRCUITOS TERMINAIS, INSTALADA EM LAJE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",UN,"R$ 5,40","164,00","R$ 885,60","R$ 1.075,56",,,,,,
11.1.5.7,91884,SINAPI,"LUVA PARA ELETRODUTO, PVC, ROSCÁVEL, DN 25 MM (3/4""), PARA CIRCUITOS TERMINAIS, INSTALADA EM PAREDE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",UN,"R$ 9,27","27,00","R$ 250,29","R$ 303,97",,,,,,
11.1.5.8,91868,SINAPI,"ELETRODUTO RÍGIDO ROSCÁVEL, PVC, DN 32 MM (1""), PARA CIRCUITOS TERMINAIS, INSTALADO EM LAJE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",M,"R$ 10,42","14,80","R$ 154,21","R$ 187,28",,,,,,
11.1.5.9,91872,SINAPI,"ELETRODUTO RÍGIDO ROSCÁVEL, PVC, DN 32 MM (1""), PARA CIRCUITOS TERMINAIS, INSTALADO EM PAREDE - FORNECIMENTO E INSTALAÇÃO. AF_03/2023",M,"R$ 14,02","3,20","R$ 44,86","R$ 54,48",,,,,,
11.2,,,INSTALAÇÃO DE ÓPTICA,,,,,,,,,,,
11.2.1,,,CABO DE FIBRA ÓPTICA,,,,,,,,,,,
11.2.1.1,K0015,UFCA,"CABO DE FIBRA ÓPTICA, 06 FIBRAS",M,"R$ 15,24","265,00","R$ 4.038,60","R$ 4.904,87",,,,,,
11.2.1.2,K0018,UFCA,FUSÃO DE FIBRA ÓTICA,UN,"R$ 34,37","12,00","R$ 412,44","R$ 500,90",,,,,,
11.2.1.3,K0019,UFCA,"PATCH CORD ÓTICO MONOMODO COM CONECTOR LC, EXTENSÃO DE 1,50 M - FORNECIMENTO E INSTALAÇÃO",UN,"R$ 30,49","3,00","R$ 91,47","R$ 111,09",,,,,,
11.2.2,,,ELETRODUTOS E ACESSÓRIOS,,,,,,,,,,,
11.2.2.1,100556,SINAPI,"CAIXA DE PASSAGEM PARA TELEFONE 15X15X10CM (SOBREPOR), FORNECIMENTO E INSTALACAO. AF_11/2019",UN,"R$ 32,10","2,00","R$ 64,20","R$ 77,97",,,,,,
11.2.2.2,97667,SINAPI,"ELETRODUTO FLEXÍVEL CORRUGADO, PEAD, DN 50 (1 1/2""), PARA REDE ENTERRADA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA - FORNECIMENTO E INSTALAÇÃO. AF_12/2021",M,"R$ 6,58","88,00","R$ 579,04","R$ 703,24",,,,,,
11.2.2.3,93008,SINAPI,"ELETRODUTO RÍGIDO ROSCÁVEL, PVC, DN 50 MM (1 1/2""), PARA REDE ENTERRADA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA - FORNECIMENTO E INSTALAÇÃO. AF_12/2021",M,"R$ 13,49","6,00","R$ 80,94","R$ 98,30",,,,,,
11.2.2.4,93018,SINAPI,"CURVA 90 GRAUS PARA ELETRODUTO, PVC, ROSCÁVEL, DN 50 MM (1 1/2""), PARA REDE ENTERRADA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA - FORNECIMENTO E INSTALAÇÃO. AF_12/2021",UN,"R$ 18,05","1,00","R$ 18,05","R$ 21,92",,,,,,
11.2.2.5,93013,SINAPI,"LUVA PARA ELETRODUTO, PVC, ROSCÁVEL, DN 50 MM (1 1/2""), PARA REDE ENTERRADA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA - FORNECIMENTO E INSTALAÇÃO. AF_12/2021",UN,"R$ 11,89","4,00","R$ 47,56","R$ 57,76",,,,,,
11.2.2.6,93358,SINAPI,ESCAVAÇÃO MANUAL DE VALA. AF_09/2024,M3,"R$ 73,77","13,42","R$ 989,99","R$ 1.202,34",,,,,,
11.2.2.7,104737,SINAPI,"REATERRO MANUAL DE VALAS, COM PLACA VIBRATÓRIA. AF_08/2023",M3,"R$ 18,73","13,42","R$ 251,35","R$ 305,26",,,,,,
11.2.3,,,CAIXAS DE PASSAGEM E MANILHAS,,,,,,,,,,,
11.2.3.1,97888,SINAPI,"CAIXA ENTERRADA ELÉTRICA RETANGULAR, EM ALVENARIA COM TIJOLOS CERÂMICOS MACIÇOS, FUNDO COM BRITA, DIMENSÕES INTERNAS: 0,6X0,6X0,6 M. AF_12/2020",UN,"R$ 417,61","6,00","R$ 2.505,66","R$ 3.043,12",,,,,,
11.2.3.2,95565,SINAPI,"TUBO DE CONCRETO PARA REDES COLETORAS DE ÁGUAS PLUVIAIS, DIÂMETRO DE 300MM, JUNTA RÍGIDA, INSTALADO EM LOCAL COM BAIXO NÍVEL DE INTERFERÊNCIAS - FORNECIMENTO E ASSENTAMENTO. AF_03/2024",M,"R$ 120,38","16,30","R$ 1.962,19","R$ 2.383,07",,,,,,
11.2.3.3,93358,SINAPI,ESCAVAÇÃO MANUAL DE VALA. AF_09/2024,M3,"R$ 73,77","11,22","R$ 827,69","R$ 1.005,22",,,,,,
11.2.3.4,104737,SINAPI,"REATERRO MANUAL DE VALAS, COM PLACA VIBRATÓRIA. AF_08/2023",M3,"R$ 18,73","8,15","R$ 152,64","R$ 185,38",,,,,,
12.0,,,INSTALAÇÕES HIDRÁULICAS E SANITÁRIAS,,,,,,,"R$ 146.824,72","R$ 178.318,10",,,
12.1,,,INSTALAÇÕES HIDRÁULICAS,,,,,,,,,,,
12.1.1,,,TUBOS,,,,,,,,,,,
12.1.1.1,89356,SINAPI,"TUBO, PVC, SOLDÁVEL, DE 25MM, INSTALADO EM RAMAL OU SUB-RAMAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022",M,"R$ 19,42","114,66","R$ 2.226,69","R$ 2.704,31",,,,,,
12.1.1.2,89357,SINAPI,"TUBO, PVC, SOLDÁVEL, DE 32MM, INSTALADO EM RAMAL OU SUB-RAMAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022",M,"R$ 26,42","35,96","R$ 950,06","R$ 1.153,84",,,,,,
12.1.1.3,89448,SINAPI,"TUBO, PVC, SOLDÁVEL, DE 40MM, INSTALADO EM PRUMADA DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022",M,"R$ 12,65","33,12","R$ 418,96","R$ 508,82",,,,,,
12.1.1.4,89449,SINAPI,"TUBO, PVC, SOLDÁVEL, DE 50MM, INSTALADO EM PRUMADA DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022",M,"R$ 14,00","57,59","R$ 806,26","R$ 979,20",,,,,,
12.1.1.5,94654,SINAPI,"TUBO, PVC, SOLDÁVEL, DE 85MM, INSTALADO EM RESERVAÇÃO PREDIAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_04/2024",M,"R$ 59,46","3,81","R$ 226,54","R$ 275,13",,,,,,
12.1.2,,,CONEXÕES,,,,,,,,,,,
12.1.2.1,103948,SINAPI,"BUCHA DE REDUÇÃO, CURTA, PVC, SOLDÁVEL, DN 32 X 25 MM, INSTALADO EM RAMAL OU SUB-RAMAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022",UN,"R$ 6,38","5,00","R$ 31,90","R$ 38,74",,,,,,
12.1.2.10,90373,SINAPI,"JOELHO 90 GRAUS COM BUCHA DE LATÃO, PVC, SOLDÁVEL, DN 25MM, X 1/2 INSTALADO EM RAMAL OU SUB-RAMAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022",UN,"R$ 10,36","54,00","R$ 559,44","R$ 679,43",,,,,,
12.1.2.11,89383,SINAPI,"ADAPTADOR CURTO COM BOLSA E ROSCA PARA REGISTRO, PVC, SOLDÁVEL, DN 25MM X 3/4, INSTALADO EM RAMAL OU SUB-RAMAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022",UN,"R$ 5,36","28,00","R$ 150,08","R$ 182,27",,,,,,
12.1.2.12,89369,SINAPI,"CURVA 90 GRAUS, PVC, SOLDÁVEL, DN 32MM, INSTALADO EM RAMAL OU SUB-RAMAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022",UN,"R$ 13,74","1,00","R$ 13,74","R$ 16,68",,,,,,
12.1.2.13,103951,SINAPI,"JOELHO DE REDUÇÃO, 90 GRAUS, PVC, SOLDÁVEL, DN 32 MM X 25 MM, INSTALADO EM RAMAL OU SUB-RAMAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022",UN,"R$ 11,97","4,00","R$ 47,88","R$ 58,15",,,,,,
12.1.2.14,89391,SINAPI,"ADAPTADOR CURTO COM BOLSA E ROSCA PARA REGISTRO, PVC, SOLDÁVEL, DN 32MM X 1, INSTALADO EM RAMAL OU SUB-RAMAL DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022",UN,"R$ 7,01","12,00","R$ 84,12","R$ 102,16",,,,,,
12.1.2.15,103988,SINAPI,"LUVA, PVC, SOLDÁVEL, DN 40MM, INSTALADO EM RAMAL DE DISTRIBUIÇÃO DE ÁGUA - FORNECIMENTO E INSTALAÇÃO. AF_06/2022",UN,"R$ 10,09","1,00","R$ 10,09","R$ 12,25",,,,,,
