,,,,,,,,,,,,,,,,
,,,,,MINISTÉRIO DA EDUCAÇÃO,,,,,,,,,, função ignoraN/D,#NAME?
,,,,,UNIVERSIDADE FEDERAL DO CARIRI,,,,,,,,,,,"Ao final, verificar se esse valor é o mesmo que aparece no MC"
,,,,,DIRETORIA DE INFRAESTRUTURA,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Obra:,"Hospital Veterinário Universitário do Cariri – HVUCariri com a urbanização do entorno, estacionamento, guarita de acesso, castelo d´agua, rede de média tensão, lanchonete e área de convivência, casa de gerador, baía de resíduos e estação de tratamento de esgoto no campus da Crato da UFCA.",,,,,,,,"Leis Sociais: 115,02%(HORA) 71,66%(MÊS)",,,,,#NAME?
,,Local:,"Rua Ícaro de Sousa Moreira, 126 - Muriti - Crato/CE, CEP 63130-025",,,,,,,,BDI:,,"21,45%",,,#NAME?
,,Tipo:,Construção,,,,,,,,BDI DIFERENCIADO:,,"13,51%",,,#NAME?
,,Data:,11/25/2024,,,,,,,,Referência de custos,,,,,#NAME?
,,,,,,,,,,,Sinapi – Ceará – 10/2024 - Não Desonerada,,,,,
,,,,,,,,,,,Composições UFCA,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,PLANILHA ORÇAMENTÁRIA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bloco,,ITEM,FONTE,CÓDIGO,DISCRIMINAÇÃO DO SERVIÇO,UN,VALOR UNITÁRIO,QUANT.,VALOR TOTAL,VALOR COM BDI,VALOR COM BDI DIFERENCIADO,VALOR TOTAL POR GRUPO SEM BDI,VALOR TOTAL POR GRUPO COM BDI,,,não apagar essa coluna
,,,,,,,,,,,,,,,,
HEAD3,,3.25,SINAPI,95601,"ARRASAMENTO MECANICO DE ESTACA DE CONCRETO ARMADO, DIAMETROS DE ATÉ 40 CM. AF_05/2021",UN,"18,48","450,00","R$ 8.316,00","R$ 10.099,78",,,,,,
HEAD3,,3.26,SINAPI,95967,SERVIÇOS TÉCNICOS ESPECIALIZADOS PARA ACOMPANHAMENTO DE EXECUÇÃO DE FUNDAÇÕES PROFUNDAS E ESTRUTURAS DE CONTENÇÃO,H,"159,25",132,"R$ 21.021,00","R$ 25.530,00",,,,,,
HEAD3,,3.27,SINAPI,96534,"FABRICAÇÃO, MONTAGEM E DESMONTAGEM DE FÔRMA PARA BLOCO DE COROAMENTO, EM MADEIRA SERRADA, E=25 MM, 4 UTILIZAÇÕES. AF_01/2024",M2,"86,39","415,76","R$ 35.917,50","R$ 43.621,80",,,,,,
HEAD3,,3.28,SINAPI,92759,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-60 DE 5,0 MM - MONTAGEM. AF_06/2022",KG,"15,54","1449,02","R$ 22.517,77","R$ 27.347,83",,,,,,
HEAD3,,3.29,SINAPI,104919,"ARMAÇÃO DE SAPATA ISOLADA, VIGA BALDRAME E SAPATA CORRIDA UTILIZANDO AÇO CA-50 DE 10 MM - MONTAGEM. AF_01/2024",KG,"14,24","101,70","R$ 1.448,20","R$ 1.758,83",,,,,,
HEAD3,,3.30,SINAPI,100896,"ESTACA ESCAVADA MECANICAMENTE, SEM FLUIDO ESTABILIZANTE, COM 25CM DE DIÂMETRO, CONCRETO LANÇADO POR CAMINHÃO BETONEIRA (EXCLUSIVE MOBILIZAÇÃO E DESMOBILIZAÇÃO). AF_01/2020_PA",M,"62,10","4616,00","R$ 286.653,60","R$ 348.140,79",,,,,,
HEAD3,,3.31,SINAPI,92762,"ARMAÇÃO DE PILAR OU VIGA DE ESTRUTURA CONVENCIONAL DE CONCRETO ARMADO UTILIZANDO AÇO CA-50 DE 10,0 MM - MONTAGEM. AF_06/2022",KG,"12,50","33,44","R$ 418,00","R$ 507,66",,,,,,
,,,,,,,,,,,,,,,,
HEAD1,,4.0,,,FUNDAÇÕES ESPECIAIS,,,,,,,"R$ 4.960,00","R$ 6.023,92",,,4.
HEAD3,,4.1,UFCA,B0027,MOBILIZAÇÃO DE PERFURATRIZ DE ALGUMA CAPITAL DO NORDESTE,KM,"R$ 4,96","500,00","R$ 2.480,00","R$ 3.011,96",,,,,,
HEAD3,,4.2,UFCA,B0028,DESMOBILIZAÇÃO DE PERFURATRIZ DE ALGUMA CAPITAL DO NORDESTE,KM,"R$ 4,96","500,00","R$ 2.480,00","R$ 3.011,96",,,,,,
,,,,,,,,,,,,,,,,
HEAD1,,5.0,,,SUPERESTRUTURA,,,,,,,"R$ 1.294.191,87","R$ 1.571.795,84",,,5.
HEAD2,,5.1,,,ESTRUTURAS METÁLICAS,,,,,,,,,,,
HEAD3,,5.1.1,SINAPI,100775,"ESTRUTURA TRELIÇADA DE COBERTURA, TIPO FINK, COM LIGAÇÕES SOLDADAS, INCLUSOS PERFIS METÁLICOS, CHAPAS METÁLICAS, MÃO DE OBRA E TRANSPORTE COM GUINDASTE - FORNECIMENTO E INSTALAÇÃO. AF_01/2020_PSA",KG,"12,86","18231,38","R$ 234.455,54","R$ 284.746,25",,,,,,
HEAD3,,5.1.2,UFCA,i0001,"TELHAMENTO COM TELHA METÁLICA TERMOISOLANTE REVESTIDA EM ACO GALVALUME, FACE SUPERIOR TRAPEZOIDAL, NÚCLEO EM POLIISOCIANURATO (PIR), E = 50 MM, COM ATÉ 2 ÁGUAS, INCLUSO IÇAMENTO, ACESSÓRIOS E FIXAÇÃO",M2,"R$ 211,98","116,67","R$ 24.731,70","R$ 30.036,64",,,,,,
HEAD3,,5.1.3,SINAPI,94213,"TELHAMENTO COM TELHA DE AÇO/ALUMÍNIO E = 0,5 MM, COM ATÉ 2 ÁGUAS, INCLUSO IÇAMENTO. AF_07/2019",M2,"65,63","404,39","R$ 26.540,11","R$ 32.232,96",,,,,,
